status,datetime_GMT
no bird,2021-03-19 01:04:46.065886+00:00
no bird,2021-03-19 01:05:49.787437+00:00
no bird,2021-03-19 01:06:53.477606+00:00
no bird,2021-03-19 01:07:57.136173+00:00
no bird,2021-03-19 01:09:00.783773+00:00
no bird,2021-03-19 01:10:04.530746+00:00
no bird,2021-03-19 01:11:08.255363+00:00
no bird,2021-03-19 01:12:12.288843+00:00
no bird,2021-03-19 01:13:16.360407+00:00
no bird,2021-03-19 01:14:20.137152+00:00
no bird,2021-03-19 01:15:23.955920+00:00
no bird,2021-03-19 01:16:27.837638+00:00
no bird,2021-03-19 01:17:31.693416+00:00
no bird,2021-03-19 01:18:35.610577+00:00
no bird,2021-03-19 01:19:39.740480+00:00
no bird,2021-03-19 01:20:43.364780+00:00
no bird,2021-03-19 01:21:47.070568+00:00
no bird,2021-03-19 01:22:50.685100+00:00
no bird,2021-03-19 01:23:54.332097+00:00
no bird,2021-03-19 01:24:58.275464+00:00
no bird,2021-03-19 01:26:02.187014+00:00
no bird,2021-03-19 01:27:06.092727+00:00
no bird,2021-03-19 01:28:09.970577+00:00
no bird,2021-03-19 01:29:13.901558+00:00
no bird,2021-03-19 01:30:17.766762+00:00
no bird,2021-03-19 01:31:21.638284+00:00
no bird,2021-03-19 01:32:25.538457+00:00
no bird,2021-03-19 01:33:29.417667+00:00
no bird,2021-03-19 01:34:33.306010+00:00
no bird,2021-03-19 01:35:37.167707+00:00
no bird,2021-03-19 01:36:41.060194+00:00
no bird,2021-03-19 01:37:44.974195+00:00
no bird,2021-03-19 01:38:48.908268+00:00
no bird,2021-03-19 01:39:52.757771+00:00
no bird,2021-03-19 01:40:56.549466+00:00
no bird,2021-03-19 01:42:00.393540+00:00
no bird,2021-03-19 01:43:04.229975+00:00
no bird,2021-03-19 01:44:08.064942+00:00
no bird,2021-03-19 01:45:12.003791+00:00
no bird,2021-03-19 01:46:15.903185+00:00
no bird,2021-03-19 01:47:19.756081+00:00
no bird,2021-03-19 01:48:23.433904+00:00
no bird,2021-03-19 01:49:28.007528+00:00
no bird,2021-03-19 01:50:32.183367+00:00
no bird,2021-03-19 01:56:05.374922+00:00
no bird,2021-03-19 02:01:09.838027+00:00
no bird,2021-03-19 02:06:14.194542+00:00
no bird,2021-03-19 02:11:17.704787+00:00
no bird,2021-03-19 02:16:22.190017+00:00
no bird,2021-03-19 02:21:26.582798+00:00
no bird,2021-03-19 02:26:30.758718+00:00
no bird,2021-03-19 02:31:34.362326+00:00
no bird,2021-03-19 02:36:38.744191+00:00
no bird,2021-03-19 02:41:42.274694+00:00
no bird,2021-03-19 02:46:46.646565+00:00
no bird,2021-03-19 02:51:51.073365+00:00
no bird,2021-03-19 02:56:55.532370+00:00
no bird,2021-03-19 03:01:59.672113+00:00
no bird,2021-03-19 03:07:04.254291+00:00
no bird,2021-03-19 03:12:09.197448+00:00
no bird,2021-03-19 03:17:14.587821+00:00
no bird,2021-03-19 03:22:19.673264+00:00
no bird,2021-03-19 03:27:26.992565+00:00
